,country,region_id,region,Year,happiness_rank,happiness_score,economy_GDP_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,dystopia_residual,happiness_category
48,Bahrain,MENA,Middle East and North Africa,2015,49,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,1.73797,middle-high
49,Italy,WE,Western Europe,2015,50,5.948,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,2.02518,middle-high
50,Bolivia,LAC,Latin America and Caribbean,2015,51,5.89,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,2.82334,middle-high
51,Moldova,CEE,Central and Eastern Europe,2015,52,5.889,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,3.10712,middle-high
52,Paraguay,LAC,Latin America and Caribbean,2015,53,5.878,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424,2.18896,middle-high
53,Kazakhstan,CIS,Commonwealth of Independent States,2015,54,5.855,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,2.24729,middle-high
54,Slovenia,CEE,Central and Eastern Europe,2015,55,5.848,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328,1.61583,middle-high
55,Lithuania,CEE,Central and Eastern Europe,2015,56,5.833,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,2.44649,middle-high
56,Nicaragua,LAC,Latin America and Caribbean,2015,57,5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,2.32407,middle-high
57,Peru,LAC,Latin America and Caribbean,2015,58,5.824,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,2.5945,middle-high
58,Belarus,CIS,Commonwealth of Independent States,2015,59,5.813,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,2.1309,middle-high
59,Poland,CEE,Central and Eastern Europe,2015,60,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,1.86565,middle-high
60,Malaysia,SEA,Southeast Asia,2015,61,5.77,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,1.88541,middle-high
61,Croatia,CEE,Central and Eastern Europe,2015,62,5.759,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414,middle-high
62,Libya,MENA,Middle East and North Africa,2015,63,5.754,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295,2.09066,middle-high
63,Russia,CIS,Commonwealth of Independent States,2015,64,5.716,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199,2.27394,middle-high
64,Jamaica,LAC,Latin America and Caribbean,2015,65,5.709,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,2.32038,middle-high
65,North Cyprus,WE,Western Europe,2015,66,5.695,1.20806,1.07008,0.92356,0.49027,0.1428,0.26169,1.59888,middle-high
66,Cyprus,WE,Western Europe,2015,67,5.689,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931,middle-high
67,Algeria,MENA,Middle East and North Africa,2015,68,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2.43209,middle-high
68,Kosovo,CEE,Central and Eastern Europe,2015,69,5.589,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,2.76579,middle-high
69,Turkmenistan,CIS,Commonwealth of Independent States,2015,70,5.548,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,1.86984,middle-high
70,Mauritius,SSA,Sub-Saharan Africa,2015,71,5.477,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,1.76145,middle-low
71,Hong Kong,EA,East Asia,2015,72,5.474,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,0.65429,middle-low
72,Estonia,CEE,Central and Eastern Europe,2015,73,5.429,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,1.58782,middle-low
73,Indonesia,SEA,Southeast Asia,2015,74,5.399,0.82827,1.08708,0.63793,0.46611,0.0,0.51535,1.86399,middle-low
74,Vietnam,SEA,Southeast Asia,2015,75,5.36,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686,2.20173,middle-low
75,Turkey,MENA,Middle East and North Africa,2015,76,5.332,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2.08528,middle-low
76,Kyrgyzstan,CIS,Commonwealth of Independent States,2015,77,5.286,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,2.2327,middle-low
77,Nigeria,SSA,Sub-Saharan Africa,2015,78,5.268,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,2.89319,middle-low
78,Bhutan,SA,South Asia,2015,79,5.253,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,1.63794,middle-low
79,Azerbaijan,CIS,Commonwealth of Independent States,2015,80,5.212,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,2.00073,middle-low
80,Pakistan,SA,South Asia,2015,81,5.194,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,3.10709,middle-low
81,Jordan,MENA,Middle East and North Africa,2015,82,5.192,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,1.87996,middle-low
82,Montenegro,CEE,Central and Eastern Europe,2015,82,5.192,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,2.10017,middle-low
83,China,EA,East Asia,2015,84,5.14,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,1.8604,middle-low
84,Zambia,SSA,Sub-Saharan Africa,2015,85,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,2.6343,middle-low
85,Romania,CEE,Central and Eastern Europe,2015,86,5.124,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748,1.93129,middle-low
86,Serbia,CEE,Central and Eastern Europe,2015,87,5.123,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231,2.025,middle-low
87,Portugal,WE,Western Europe,2015,88,5.102,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,1.26462,middle-low
88,Latvia,CEE,Central and Eastern Europe,2015,89,5.098,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226,1.62215,middle-low
89,Philippines,SEA,Southeast Asia,2015,90,5.073,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991,1.7536,middle-low
90,Somalia,SSA,Sub-Saharan Africa,2015,91,5.057,0.18847,0.95152,0.43873,0.46582,0.39928,0.50318,2.11032,middle-low
91,Morocco,MENA,Middle East and North Africa,2015,92,5.013,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172,2.45373,middle-low
92,Macedonia,CEE,Central and Eastern Europe,2015,93,5.007,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359,1.73933,middle-low
93,Mozambique,SSA,Sub-Saharan Africa,2015,94,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,3.05137,middle-low
94,Albania,CEE,Central and Eastern Europe,2015,95,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,1.89894,middle-low
95,Bosnia and Herzegovina,CEE,Central and Eastern Europe,2015,96,4.949,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,2.06367,middle-low
96,Lesotho,SSA,Sub-Saharan Africa,2015,97,4.898,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,2.79832,middle-low
97,Dominican Republic,LAC,Latin America and Caribbean,2015,98,4.885,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,1.21305,middle-low
98,Laos,SEA,Southeast Asia,2015,99,4.876,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192,1.73799,middle-low
99,Mongolia,EA,East Asia,2015,100,4.874,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,1.34759,middle-low
100,Swaziland,SSA,Sub-Saharan Africa,2015,101,4.867,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,2.48676,middle-low
101,Greece,WE,Western Europe,2015,102,4.857,1.15406,0.92933,0.88213,0.07699,0.01397,0.0,1.80101,middle-low
102,Lebanon,MENA,Middle East and North Africa,2015,103,4.839,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,1.57059,middle-low
103,Hungary,CEE,Central and Eastern Europe,2015,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,1.24074,middle-low
104,Honduras,LAC,Latin America and Caribbean,2015,105,4.788,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,1.84408,middle-low
105,Tajikistan,CIS,Commonwealth of Independent States,2015,106,4.786,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974,2.11399,middle-low
106,Tunisia,MENA,Middle East and North Africa,2015,107,4.739,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,2.12466,middle-low
107,Palestinian Territories,MENA,Middle East and North Africa,2015,108,4.715,0.59867,0.92558,0.66015,0.24499,0.12905,0.11251,2.04384,middle-low
108,Bangladesh,SA,South Asia,2015,109,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,2.51767,middle-low
109,Iran,MENA,Middle East and North Africa,2015,110,4.686,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,1.6944,middle-low
110,Ukraine,CEE,Central and Eastern Europe,2015,111,4.681,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,1.5714,middle-low
111,Iraq,MENA,Middle East and North Africa,2015,112,4.677,0.98549,0.81889,0.60237,0.0,0.13788,0.17922,1.95335,middle-low
112,South Africa,SSA,Sub-Saharan Africa,2015,113,4.642,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,1.71956,middle-low
113,Ghana,SSA,Sub-Saharan Africa,2015,114,4.633,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,2.30919,middle-low
114,Zimbabwe,SSA,Sub-Saharan Africa,2015,115,4.61,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,2.44191,middle-low
115,Liberia,SSA,Sub-Saharan Africa,2015,116,4.571,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,2.77729,middle-low
116,India,SA,South Asia,2015,117,4.565,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,2.27513,middle-low
117,Sudan,SSA,Sub-Saharan Africa,2015,118,4.55,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,2.20857,middle-low
118,Haiti,LAC,Latin America and Caribbean,2015,119,4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,2.24173,middle-low
119,Congo (Kinshasa),SSA,Sub-Saharan Africa,2015,120,4.517,0.0,1.0012,0.09806,0.22605,0.07625,0.24834,2.86712,middle-low
120,Nepal,SA,South Asia,2015,121,4.514,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,1.95637,middle-low
121,Ethiopia,SSA,Sub-Saharan Africa,2015,122,4.512,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,2.44876,middle-low
122,Sierra Leone,SSA,Sub-Saharan Africa,2015,123,4.507,0.33024,0.95571,0.0,0.4084,0.08786,0.21488,2.51009,middle-low
123,Mauritania,SSA,Sub-Saharan Africa,2015,124,4.436,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,2.11773,middle-low
124,Kenya,SSA,Sub-Saharan Africa,2015,125,4.419,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,1.78555,middle-low
125,Djibouti,SSA,Sub-Saharan Africa,2015,126,4.369,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2.05125,middle-low
126,Armenia,CIS,Commonwealth of Independent States,2015,127,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873,middle-low
127,Botswana,SSA,Sub-Saharan Africa,2015,128,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,1.46181,middle-low
128,Myanmar,SEA,Southeast Asia,2015,129,4.307,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,1.41805,middle-low
129,Georgia,CIS,Commonwealth of Independent States,2015,130,4.297,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,1.59541,middle-low
130,Malawi,SSA,Sub-Saharan Africa,2015,131,4.292,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128,2.80791,middle-low
131,Sri Lanka,SA,South Asia,2015,132,4.271,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828,0.67108,middle-low
132,Cameroon,SSA,Sub-Saharan Africa,2015,133,4.252,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,1.95071,middle-low
133,Bulgaria,CEE,Central and Eastern Europe,2015,134,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,0.89991,middle-low
134,Egypt,MENA,Middle East and North Africa,2015,135,4.194,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,1.59927,middle-low
135,Yemen,MENA,Middle East and North Africa,2015,136,4.077,0.54649,0.68093,0.40064,0.35571,0.07854,0.09131,1.92313,middle-low
136,Angola,SSA,Sub-Saharan Africa,2015,137,4.033,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,1.94939,middle-low
137,Mali,SSA,Sub-Saharan Africa,2015,138,3.995,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,1.79293,low
138,Congo (Brazzaville),SSA,Sub-Saharan Africa,2015,139,3.989,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388,1.68135,low
139,Comoros,SSA,Sub-Saharan Africa,2015,140,3.956,0.23906,0.79273,0.36315,0.22917,0.199,0.17441,1.95812,low
140,Uganda,SSA,Sub-Saharan Africa,2015,141,3.931,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,1.42766,low
141,Senegal,SSA,Sub-Saharan Africa,2015,142,3.904,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843,1.44395,low
142,Gabon,SSA,Sub-Saharan Africa,2015,143,3.896,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,0.99895,low
143,Niger,SSA,Sub-Saharan Africa,2015,144,3.845,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,1.87877,low
144,Cambodia,SEA,Southeast Asia,2015,145,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,0.98195,low
145,Tanzania,SSA,Sub-Saharan Africa,2015,146,3.781,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377,1.38079,low
146,Madagascar,SSA,Sub-Saharan Africa,2015,147,3.681,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,1.851,low
147,Central African Republic,SSA,Sub-Saharan Africa,2015,148,3.678,0.0785,0.0,0.06699,0.48879,0.08289,0.23835,2.7223,low
148,Chad,SSA,Sub-Saharan Africa,2015,149,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,1.94296,low
149,Guinea,SSA,Sub-Saharan Africa,2015,150,3.656,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,1.99172,low
150,Ivory Coast,SSA,Sub-Saharan Africa,2015,151,3.655,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165,1.41723,low
151,Burkina Faso,SSA,Sub-Saharan Africa,2015,152,3.587,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,1.46494,low
152,Afghanistan,SA,South Asia,2015,153,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,1.9521,low
153,Rwanda,SSA,Sub-Saharan Africa,2015,154,3.465,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628,0.67042,low
154,Benin,SSA,Sub-Saharan Africa,2015,155,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,1.63328,low
155,Syria,MENA,Middle East and North Africa,2015,156,3.006,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179,0.32858,low
156,Burundi,SSA,Sub-Saharan Africa,2015,157,2.905,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,1.83302,low
157,Togo,SSA,Sub-Saharan Africa,2015,158,2.839,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681,1.56726,low
158,Denmark,WE,Western Europe,2016,1,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2.73939,high
159,Switzerland,WE,Western Europe,2016,2,7.509,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,high
160,Iceland,WE,Western Europe,2016,3,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2.83137,high
161,Norway,WE,Western Europe,2016,4,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2.66465,high
162,Finland,WE,Western Europe,2016,5,7.413,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,2.82596,high
163,Canada,NAANZ,North America and ANZ,2016,6,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2.70485,high
164,Netherlands,WE,Western Europe,2016,7,7.339,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2.70749,high
165,New Zealand,NAANZ,North America and ANZ,2016,8,7.334,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,2.47553,high
166,Australia,NAANZ,North America and ANZ,2016,9,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2.5465,high
167,Sweden,WE,Western Europe,2016,10,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,high
168,Israel,MENA,Middle East and North Africa,2016,11,7.267,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,3.31029,high
169,Austria,WE,Western Europe,2016,12,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2.69343,high
170,United States,NAANZ,North America and ANZ,2016,13,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2.72782,high
171,Costa Rica,LAC,Latin America and Caribbean,2016,14,7.087,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,3.35168,high
172,Puerto Rico,LAC,Latin America and Caribbean,2016,15,7.039,1.35943,1.08113,0.77758,0.46823,0.12275,0.22202,3.0076,high
173,Germany,WE,Western Europe,2016,16,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,2.50931,middle-high
174,Brazil,LAC,Latin America and Caribbean,2016,17,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,3.50733,middle-high
175,Belgium,WE,Western Europe,2016,18,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2.61355,middle-high
176,Ireland,WE,Western Europe,2016,19,6.907,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2.15988,middle-high
177,Luxembourg,WE,Western Europe,2016,20,6.871,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,2.11055,middle-high
178,Mexico,LAC,Latin America and Caribbean,2016,21,6.778,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,3.55906,middle-high
179,Singapore,SEA,Southeast Asia,2016,22,6.739,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,1.99375,middle-high
180,United Kingdom,WE,Western Europe,2016,23,6.725,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,2.14999,middle-high
181,Chile,LAC,Latin America and Caribbean,2016,24,6.705,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2.95505,middle-high
182,Panama,LAC,Latin America and Caribbean,2016,25,6.701,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,3.00559,middle-high
183,Argentina,LAC,Latin America and Caribbean,2016,26,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,3.12985,middle-high
184,Czech Republic,CEE,Central and Eastern Europe,2016,27,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2.96211,middle-high
185,United Arab Emirates,MENA,Middle East and North Africa,2016,28,6.573,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,2.21507,middle-high
186,Uruguay,LAC,Latin America and Caribbean,2016,29,6.545,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,2.67139,middle-high
187,Malta,WE,Western Europe,2016,30,6.488,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,1.99032,middle-high
188,Colombia,LAC,Latin America and Caribbean,2016,31,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,3.17471,middle-high
189,France,WE,Western Europe,2016,32,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2.4744,middle-high
190,Thailand,SEA,Southeast Asia,2016,33,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796,middle-high
191,Saudi Arabia,MENA,Middle East and North Africa,2016,34,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2.61482,middle-high
192,Taiwan Province of China,SA,South Asia,2016,34,6.379,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495,2.61523,middle-high
193,Qatar,MENA,Middle East and North Africa,2016,36,6.375,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,1.58224,middle-high
194,Spain,WE,Western Europe,2016,37,6.361,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,2.39663,middle-high
195,Algeria,MENA,Middle East and North Africa,2016,38,6.355,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,3.40904,middle-high
196,Guatemala,LAC,Latin America and Caribbean,2016,39,6.324,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,3.19863,middle-high
197,Suriname,LAC,Latin America and Caribbean,2016,40,6.269,1.09686,0.77866,0.50933,0.52234,0.12692,0.16665,3.06852,middle-high
198,Kuwait,MENA,Middle East and North Africa,2016,41,6.239,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,2.28085,middle-high
199,Bahrain,MENA,Middle East and North Africa,2016,42,6.218,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2.27405,middle-high
