,country,region_id,region,Year,happiness_rank,happiness_score,economy_GDP_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,dystopia_residual,happiness_category,Component 1,Component 2,Component 3,Segment K-means PCA,Segment
70,Mauritius,SSA,Sub-Saharan Africa,2015,71,5.477,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,1.76145,middle-low,-0.394404649,0.998899858,-1.030951587,2,medium
71,Hong Kong,EA,East Asia,2015,72,5.474,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,0.65429,middle-low,-2.266778456,2.003280288,0.163112778,0,high
72,Estonia,CEE,Central and Eastern Europe,2015,73,5.429,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,1.58782,middle-low,-0.737583318,-0.956613041,0.425799443,2,medium
73,Indonesia,SEA,Southeast Asia,2015,74,5.399,0.82827,1.08708,0.63793,0.46611,0,0.51535,1.86399,middle-low,0.182194885,1.3629224,-2.444632603,2,medium
74,Vietnam,SEA,Southeast Asia,2015,75,5.36,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686,2.20173,middle-low,-0.000136485,0.148345314,0.208131607,2,medium
75,Turkey,MENA,Middle East and North Africa,2015,76,5.332,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2.08528,middle-low,0.282941334,-0.917933507,0.338732787,2,medium
76,Kyrgyzstan,CIS,Commonwealth of Independent States,2015,77,5.286,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,2.2327,middle-low,0.554683032,0.303689769,-1.375740394,2,medium
77,Nigeria,SSA,Sub-Saharan Africa,2015,78,5.268,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,2.89319,middle-low,1.809654415,0.462971934,-0.603016,1,low
78,Bhutan,SA,South Asia,2015,79,5.253,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,1.63794,middle-low,-0.118457809,2.069065287,-1.444801141,1,low
79,Azerbaijan,CIS,Commonwealth of Independent States,2015,80,5.212,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,2.00073,middle-low,0.240962028,-0.748183164,0.858896039,2,medium
80,Pakistan,SA,South Asia,2015,81,5.194,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,3.10709,middle-low,2.138065728,0.706579096,-0.522280312,1,low
81,Jordan,MENA,Middle East and North Africa,2015,82,5.192,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,1.87996,middle-low,0.081311952,-0.626541415,0.392780368,2,medium
82,Montenegro,CEE,Central and Eastern Europe,2015,82,5.192,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,2.10017,middle-low,0.617472706,-0.770059117,0.023856254,2,medium
83,China,EA,East Asia,2015,84,5.14,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,1.8604,middle-low,0.069187885,-1.10121691,0.245317579,2,medium
84,Zambia,SSA,Sub-Saharan Africa,2015,85,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,2.6343,middle-low,1.276893927,0.659003146,0.225623455,1,low
85,Romania,CEE,Central and Eastern Europe,2015,86,5.124,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748,1.93129,middle-low,0.488582917,-1.216360579,-0.205184555,2,medium
86,Serbia,CEE,Central and Eastern Europe,2015,87,5.123,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231,2.025,middle-low,0.775528603,-1.138093271,-0.846684169,2,medium
87,Portugal,WE,Western Europe,2015,88,5.102,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,1.26462,middle-low,-0.503387284,-1.171191116,-0.331954197,2,medium
88,Latvia,CEE,Central and Eastern Europe,2015,89,5.098,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226,1.62215,middle-low,0.224800813,-0.952262128,-0.503894738,2,medium
89,Philippines,SEA,Southeast Asia,2015,90,5.073,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991,1.7536,middle-low,0.062872993,0.823142253,-0.130896005,2,medium
90,Somalia,SSA,Sub-Saharan Africa,2015,91,5.057,0.18847,0.95152,0.43873,0.46582,0.39928,0.50318,2.11032,middle-low,0.52257932,3.685417667,-0.477375138,1,low
91,Morocco,MENA,Middle East and North Africa,2015,92,5.013,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172,2.45373,middle-low,1.119165277,-0.637266704,0.936819077,1,low
92,Macedonia,CEE,Central and Eastern Europe,2015,93,5.007,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359,1.73933,middle-low,0.475009335,-0.512028544,-0.679068126,2,medium
93,Mozambique,SSA,Sub-Saharan Africa,2015,94,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,3.05137,middle-low,2.248832368,0.936735775,-0.176933102,1,low
94,Albania,CEE,Central and Eastern Europe,2015,95,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,1.89894,middle-low,0.581762748,-0.809444587,0.063336992,2,medium
95,Bosnia and Herzegovina,CEE,Central and Eastern Europe,2015,96,4.949,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,2.06367,middle-low,1.25455464,-1.077890278,-1.347068408,2,medium
96,Lesotho,SSA,Sub-Saharan Africa,2015,97,4.898,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,2.79832,middle-low,2.147469875,0.255095691,0.091285372,1,low
97,Dominican Republic,LAC,Latin America and Caribbean,2015,98,4.885,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,1.21305,middle-low,-0.296231637,0.337585761,-0.090880941,2,medium
98,Laos,SEA,Southeast Asia,2015,99,4.876,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192,1.73799,middle-low,0.369171708,2.636212708,-0.151583746,1,low
99,Mongolia,EA,East Asia,2015,100,4.874,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,1.34759,middle-low,0.309367103,0.202034874,-1.629459308,2,medium
100,Swaziland,SSA,Sub-Saharan Africa,2015,101,4.867,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,2.48676,middle-low,2.033864423,-0.267545861,-0.356950054,1,low
101,Greece,WE,Western Europe,2015,102,4.857,1.15406,0.92933,0.88213,0.07699,0.01397,0,1.80101,middle-low,0.897024035,-2.800269353,0.112966209,2,medium
102,Lebanon,MENA,Middle East and North Africa,2015,103,4.839,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,1.57059,middle-low,0.494756708,-0.56505531,-0.401286834,2,medium
103,Hungary,CEE,Central and Eastern Europe,2015,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,1.24074,middle-low,0.216230295,-1.493270046,-0.500128529,2,medium
104,Honduras,LAC,Latin America and Caribbean,2015,105,4.788,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,1.84408,middle-low,0.843013727,-0.023813676,-0.5912262,2,medium
105,Tajikistan,CIS,Commonwealth of Independent States,2015,106,4.786,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974,2.11399,middle-low,1.026966692,0.78170211,0.022963922,1,low
106,Tunisia,MENA,Middle East and North Africa,2015,107,4.739,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,2.12466,middle-low,1.30466484,-1.278903105,0.70121959,2,medium
107,Palestinian Territories,MENA,Middle East and North Africa,2015,108,4.715,0.59867,0.92558,0.66015,0.24499,0.12905,0.11251,2.04384,middle-low,1.225625935,-0.753913151,0.177707107,1,low
108,Bangladesh,SA,South Asia,2015,109,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,2.51767,middle-low,1.72609563,0.698835682,0.51211187,1,low
109,Iran,MENA,Middle East and North Africa,2015,110,4.686,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,1.6944,middle-low,1.130303863,0.709032872,-0.823544777,1,low
110,Ukraine,CEE,Central and Eastern Europe,2015,111,4.681,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,1.5714,middle-low,0.900746155,-1.253823093,-0.810968415,2,medium
111,Iraq,MENA,Middle East and North Africa,2015,112,4.677,0.98549,0.81889,0.60237,0,0.13788,0.17922,1.95335,middle-low,1.587017918,-0.910939051,-0.126845932,1,low
112,South Africa,SSA,Sub-Saharan Africa,2015,113,4.642,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,1.71956,middle-low,1.235383767,-0.688874359,0.101612127,1,low
113,Ghana,SSA,Sub-Saharan Africa,2015,114,4.633,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,2.30919,middle-low,1.845049952,0.408986571,-0.106526812,1,low
114,Zimbabwe,SSA,Sub-Saharan Africa,2015,115,4.61,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,2.44191,middle-low,2.14476534,-0.093406197,-0.533563163,1,low
115,Liberia,SSA,Sub-Saharan Africa,2015,116,4.571,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,2.77729,middle-low,2.60235704,0.47152107,-0.617269647,1,low
116,India,SA,South Asia,2015,117,4.565,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,2.27513,middle-low,1.851590889,0.805539119,0.265996455,1,low
117,Sudan,SSA,Sub-Saharan Africa,2015,118,4.55,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,2.20857,middle-low,2.067738474,-0.278783517,-0.337753014,1,low
118,Haiti,LAC,Latin America and Caribbean,2015,119,4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,2.24173,middle-low,2.11678497,2.087317209,-1.232633272,1,low
119,Congo (Kinshasa),SSA,Sub-Saharan Africa,2015,120,4.517,0,1.0012,0.09806,0.22605,0.07625,0.24834,2.86712,middle-low,3.002508163,0.538894591,-0.837938619,1,low
120,Nepal,SA,South Asia,2015,121,4.514,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,1.95637,middle-low,1.571450179,0.750731981,-1.050619176,1,low
121,Ethiopia,SSA,Sub-Saharan Africa,2015,122,4.512,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,2.44876,middle-low,1.978945031,1.18274388,0.265038918,1,low
122,Sierra Leone,SSA,Sub-Saharan Africa,2015,123,4.507,0.33024,0.95571,0,0.4084,0.08786,0.21488,2.51009,middle-low,2.473538415,0.755135763,-0.062600566,1,low
123,Mauritania,SSA,Sub-Saharan Africa,2015,124,4.436,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,2.11773,middle-low,1.970743304,0.479105551,0.028542994,1,low
124,Kenya,SSA,Sub-Saharan Africa,2015,125,4.419,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,1.78555,middle-low,1.626915372,1.195344561,-1.370621108,1,low
125,Djibouti,SSA,Sub-Saharan Africa,2015,126,4.369,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2.05125,middle-low,1.583788212,1.415174915,1.43379821,1,low
126,Armenia,CIS,Commonwealth of Independent States,2015,127,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873,middle-low,1.605973857,-1.500791971,0.138113405,1,low
127,Botswana,SSA,Sub-Saharan Africa,2015,128,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,1.46181,middle-low,1.363383976,-0.020880255,0.892990904,1,low
128,Myanmar,SEA,Southeast Asia,2015,129,4.307,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,1.41805,middle-low,1.430768557,4.55812007,-2.692756515,1,low
129,Georgia,CIS,Commonwealth of Independent States,2015,130,4.297,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,1.59541,middle-low,0.790032226,0.666225473,2.710231143,1,low
130,Malawi,SSA,Sub-Saharan Africa,2015,131,4.292,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128,2.80791,middle-low,3.057097553,1.76412639,-0.246541269,1,low
131,Sri Lanka,SA,South Asia,2015,132,4.271,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828,0.67108,middle-low,0.277183313,1.289828616,-1.235295791,1,low
132,Cameroon,SSA,Sub-Saharan Africa,2015,133,4.252,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,1.95071,middle-low,2.021860186,0.54900034,-0.037569072,1,low
133,Bulgaria,CEE,Central and Eastern Europe,2015,134,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,0.89991,middle-low,0.770929739,-1.540016921,-0.454563736,2,medium
134,Egypt,MENA,Middle East and North Africa,2015,135,4.194,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,1.59927,middle-low,1.786556253,-1.168360644,0.201039952,1,low
135,Yemen,MENA,Middle East and North Africa,2015,136,4.077,0.54649,0.68093,0.40064,0.35571,0.07854,0.09131,1.92313,middle-low,2.217271566,-0.415322054,0.740836999,1,low
136,Angola,SSA,Sub-Saharan Africa,2015,137,4.033,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,1.94939,middle-low,2.823266069,-0.82774633,0.164248441,1,low
137,Mali,SSA,Sub-Saharan Africa,2015,138,3.995,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,1.79293,low,2.261349107,0.507289435,-0.040291727,1,low
138,Congo (Brazzaville),SSA,Sub-Saharan Africa,2015,139,3.989,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388,1.68135,low,2.06459007,0.117128103,0.97272713,1,low
139,Comoros,SSA,Sub-Saharan Africa,2015,140,3.956,0.23906,0.79273,0.36315,0.22917,0.199,0.17441,1.95812,low,2.47378016,0.454585336,0.394768967,1,low
140,Uganda,SSA,Sub-Saharan Africa,2015,141,3.931,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,1.42766,low,1.904245514,0.88256534,-0.98641649,1,low
141,Senegal,SSA,Sub-Saharan Africa,2015,142,3.904,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843,1.44395,low,1.916488916,0.293901658,-0.272478447,1,low
142,Gabon,SSA,Sub-Saharan Africa,2015,143,3.896,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,0.99895,low,1.455987016,-0.926274843,0.858061255,1,low
143,Niger,SSA,Sub-Saharan Africa,2015,144,3.845,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,1.87877,low,2.376916463,1.08651712,0.444075528,1,low
144,Cambodia,SEA,Southeast Asia,2015,145,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,0.98195,low,1.269412338,2.0103562,-0.644246214,1,low
145,Tanzania,SSA,Sub-Saharan Africa,2015,146,3.781,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377,1.38079,low,2.275517794,0.870424321,-1.331218877,1,low
146,Madagascar,SSA,Sub-Saharan Africa,2015,147,3.681,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,1.851,low,2.944867491,0.089547719,-0.308378877,1,low
